
[Name]
finFluid1

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
2.22218316e-02, -1.44881997e-02, -1.06420284e-02, 3.01670258e+02
2.45284941e-02, -1.36422077e-02, -8.64675920e-03, 3.01955231e+02
2.02697515e-02, -1.48321558e-02, -9.98598244e-03, 3.01444580e+02
2.04565264e-02, -1.56848617e-02, -1.02114351e-02, 3.01270355e+02
1.94849260e-02, -1.35702603e-02, -7.03487173e-03, 3.01660492e+02
2.41243783e-02, -1.55584272e-02, -9.46116820e-03, 3.01219513e+02
2.30619032e-02, -1.45995794e-02, -5.59810270e-03, 3.01374451e+02
2.16149036e-02, -1.22560542e-02, -1.05583500e-02, 3.02488220e+02
2.22959314e-02, -1.50552914e-02, -5.40591916e-03, 3.01118988e+02
2.44364645e-02, -1.55153684e-02, -7.37142470e-03, 3.01073578e+02
2.20067371e-02, -1.66851114e-02, -1.06176091e-02, 3.00902527e+02
2.32482497e-02, -1.25186974e-02, -1.03166457e-02, 3.02512299e+02
2.00655181e-02, -1.25943460e-02, -9.72459838e-03, 3.02088928e+02
2.03386489e-02, -1.47994943e-02, -6.01376081e-03, 3.01123932e+02
1.97432581e-02, -1.64228622e-02, -9.66455229e-03, 3.01062286e+02
2.45451331e-02, -1.25121707e-02, -8.57535005e-03, 3.02485992e+02
1.97787620e-02, -1.55653134e-02, -6.57488173e-03, 3.00991791e+02
2.27427222e-02, -1.55887501e-02, -5.45531046e-03, 3.01110291e+02
2.40093991e-02, -1.68185700e-02, -9.73341800e-03, 3.00928436e+02
2.41036955e-02, -1.25130275e-02, -6.45693997e-03, 3.02437592e+02
1.94413010e-02, -1.21852998e-02, -7.27043021e-03, 3.02178955e+02
2.30858028e-02, -1.68349855e-02, -1.03314575e-02, 3.00860321e+02
1.94064006e-02, -1.72153115e-02, -7.20557477e-03, 3.00604919e+02
2.16446966e-02, -1.66706983e-02, -5.45348506e-03, 3.00649017e+02
1.93897672e-02, -1.74080655e-02, -8.21843185e-03, 3.00530609e+02
2.19017733e-02, -1.78151093e-02, -1.07079763e-02, 3.00717834e+02
1.95635278e-02, -1.11819105e-02, -9.05671623e-03, 3.02742462e+02
2.18041986e-02, -1.20097678e-02, -5.35838539e-03, 3.02115082e+02
2.03775037e-02, -1.70286689e-02, -5.90402680e-03, 3.00636230e+02
2.03802101e-02, -1.12796100e-02, -6.15295488e-03, 3.02102081e+02
2.00249571e-02, -1.75831895e-02, -6.21947367e-03, 3.00524963e+02
2.03898717e-02, -1.83857027e-02, -1.02363070e-02, 3.00518280e+02
2.39512827e-02, -1.73250120e-02, -6.08514575e-03, 3.00756927e+02
2.31964160e-02, -1.01714935e-02, -1.02312155e-02, 3.03364899e+02
2.45728604e-02, -1.80023778e-02, -8.63575749e-03, 3.00580566e+02
1.93540994e-02, -1.83881894e-02, -8.24221876e-03, 3.00405548e+02
2.11931616e-02, -1.86761040e-02, -1.05540529e-02, 3.00486145e+02
2.45933179e-02, -1.00871008e-02, -8.27749074e-03, 3.03630707e+02
2.31794491e-02, -1.82459932e-02, -5.48353838e-03, 3.00516754e+02
2.08432358e-02, -1.87861845e-02, -5.63738449e-03, 3.00328125e+02
2.39908788e-02, -1.00877900e-02, -6.15707226e-03, 3.03398041e+02
1.95552465e-02, -1.00360420e-02, -7.03841774e-03, 3.02888916e+02
1.98072735e-02, -1.92447342e-02, -9.50286165e-03, 3.00308868e+02
2.44381949e-02, -1.93975382e-02, -9.38462280e-03, 3.00425079e+02
2.16301586e-02, -8.80832504e-03, -1.05343517e-02, 3.04135803e+02
2.01531854e-02, -9.01470426e-03, -9.81806405e-03, 3.03740265e+02
1.96290091e-02, -1.91624649e-02, -6.74586836e-03, 3.00302917e+02
2.45815013e-02, -9.03211813e-03, -8.50951951e-03, 3.04145233e+02
2.32310258e-02, -8.99743568e-03, -1.03093199e-02, 3.04151947e+02
2.46311445e-02, -1.98853854e-02, -7.60654407e-03, 3.00253754e+02
2.19317246e-02, -1.98948700e-02, -1.07115926e-02, 3.00308929e+02
2.41959915e-02, -9.09358356e-03, -6.47993246e-03, 3.04009674e+02
1.94083452e-02, -8.70910846e-03, -7.25025870e-03, 3.03559875e+02
2.26697270e-02, -1.98085103e-02, -5.32059046e-03, 3.00253479e+02
2.11406182e-02, -1.97320059e-02, -5.52941812e-03, 3.00215027e+02
1.94170885e-02, -2.07867119e-02, -8.61863699e-03, 3.00126434e+02
1.95086896e-02, -7.79313315e-03, -9.02829971e-03, 3.04509491e+02
2.02724617e-02, -7.68200401e-03, -5.88972587e-03, 3.04158386e+02
2.31518671e-02, -6.65916875e-03, -1.03430254e-02, 3.05645508e+02
2.04024483e-02, -6.56347023e-03, -9.99792293e-03, 3.05030365e+02
2.27723196e-02, -7.43205147e-03, -5.41558070e-03, 3.04441193e+02
2.45764330e-02, -6.54285261e-03, -8.19856487e-03, 3.05252686e+02
2.39164717e-02, -6.63634622e-03, -6.30492112e-03, 3.04808594e+02
1.94760170e-02, -6.56256825e-03, -7.04314793e-03, 3.04553894e+02
2.07241960e-02, -2.36234795e-02, -1.04245367e-02, 3.00013977e+02
2.16081291e-02, -5.32741286e-03, -1.04080234e-02, 3.05750122e+02
1.95203573e-02, -5.52157732e-03, -8.88622645e-03, 3.05487915e+02
2.45691314e-02, -5.52443834e-03, -8.50805920e-03, 3.05900024e+02
2.32342519e-02, -5.58226695e-03, -1.02886986e-02, 3.06277649e+02
1.95117574e-02, -5.24320127e-03, -7.20492611e-03, 3.05098846e+02
2.41641328e-02, -5.58621855e-03, -6.49048714e-03, 3.05754303e+02
2.03387551e-02, -4.36149724e-03, -9.99189820e-03, 3.06379395e+02
2.03339253e-02, -4.28905059e-03, -5.99166844e-03, 3.05569427e+02
2.31519826e-02, -3.08977067e-03, -1.03485482e-02, 3.07884491e+02
2.25651469e-02, -2.64990609e-02, -1.05043482e-02, 3.00000092e+02
1.92874968e-02, -2.95567443e-03, -8.27508979e-03, 3.06914917e+02
2.09280346e-02, -2.66341977e-02, -5.68674970e-03, 3.00000061e+02
2.27227956e-02, -3.87670659e-03, -5.41728269e-03, 3.06382111e+02
2.46397983e-02, -3.09001701e-03, -8.17132834e-03, 3.07506500e+02
2.38097087e-02, -2.98647094e-03, -6.25286624e-03, 3.06631012e+02
2.13211309e-02, -2.78038159e-02, -1.04450723e-02, 3.00000000e+02
2.23084968e-02, -2.78038178e-02, -1.05187455e-02, 3.00000000e+02
2.32650153e-02, -2.77650151e-02, -1.02459397e-02, 3.00000000e+02
2.16506068e-02, -1.66077365e-03, -1.05400346e-02, 3.08463440e+02
1.95246283e-02, -1.99319026e-03, -8.96462146e-03, 3.07593018e+02
2.04371195e-02, -2.78038140e-02, -9.99915879e-03, 3.00000000e+02
1.97910406e-02, -2.78038159e-02, -9.24889464e-03, 3.00000000e+02
2.40909830e-02, -2.77764481e-02, -9.67608858e-03, 3.00000000e+02
2.44301092e-02, -2.77712047e-02, -8.71912111e-03, 3.00000000e+02
2.07522847e-02, -2.78036110e-02, -5.79248788e-03, 3.00000000e+02
2.00008508e-02, -2.78038085e-02, -6.43710792e-03, 3.00000000e+02
2.26876978e-02, -2.78275646e-02, -5.57882991e-03, 3.00000000e+02
2.32290588e-02, -2.05950602e-03, -1.03394929e-02, 3.08593689e+02
2.45753508e-02, -2.07769219e-03, -8.61565676e-03, 3.08241486e+02
1.96112730e-02, -1.82954327e-03, -7.33941002e-03, 3.06565216e+02
2.45727208e-02, -2.77299471e-02, -7.69250654e-03, 3.00000000e+02
1.95549242e-02, -2.78038196e-02, -7.32113002e-03, 3.00000000e+02
