Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
1.29544409e-04, 1.26766472e+01, 1.81556027e-02, -9.99999978e-03, -1.52294049e-02, -9.10016242e-03
1.86158344e-04, 1.27757549e+01, 1.30479205e-02, -9.99999978e-03, -1.49319358e-02, -8.80578719e-03
-1.86689291e-03, 1.26064005e+01, 2.08463036e-02, -9.99999978e-03, -1.44035565e-02, -9.38080810e-03
6.58920268e-04, 1.27211418e+01, 1.53979370e-02, -9.99999978e-03, -1.52020063e-02, -8.94022360e-03
4.70981002e-04, 1.27943974e+01, 8.46055150e-03, -9.99999978e-03, -1.52464043e-02, -8.52046721e-03
2.31838087e-04, 1.27555752e+01, 1.29102906e-02, -9.99999978e-03, -1.53545737e-02, -8.77361372e-03
-2.50026234e-04, 1.28207836e+01, 1.00063626e-03, -9.99999978e-03, -1.57728922e-02, -8.05978477e-03
-3.67870089e-04, 1.27835598e+01, -6.00823481e-03, -9.99999978e-03, -1.61044300e-02, -7.66794849e-03
-8.85834685e-04, 1.27942123e+01, -1.40951353e-03, -9.99999978e-03, -1.61662959e-02, -7.91404955e-03
7.44296703e-04, 1.28071232e+01, -3.38499388e-03, -9.99999978e-03, -1.54764578e-02, -7.83969276e-03
9.41076083e-04, 1.27554073e+01, -1.37522351e-02, -9.99999978e-03, -1.57917812e-02, -7.26881903e-03
-8.63780035e-04, 1.27874260e+01, 2.77468981e-03, -9.99999978e-03, -1.61430892e-02, -8.14394560e-03
2.02436117e-03, 1.27761917e+01, -1.29142646e-02, -9.99999978e-03, -1.53778149e-02, -7.32193282e-03
2.36711465e-04, 1.28209038e+01, 2.32982170e-03, -9.99999978e-03, -1.53946076e-02, -8.13174993e-03
5.14035346e-04, 1.28266525e+01, -9.17225028e-04, -9.99999978e-03, -1.52314883e-02, -7.99999945e-03
1.94313610e-03, 1.27996101e+01, -1.11517766e-02, -9.99999978e-03, -1.49804577e-02, -7.45798554e-03
-3.17099300e-04, 1.25365696e+01, 2.50144843e-02, -9.99999978e-03, -1.61696300e-02, -9.38080810e-03
-3.17099300e-04, 1.25365696e+01, 2.50144843e-02, -9.99999978e-03, -1.61696300e-02, -9.38080810e-03
-8.76768027e-05, 1.26885309e+01, 1.70793552e-02, -9.99999978e-03, -1.59740336e-02, -8.96233693e-03
-3.56403412e-04, 1.27429352e+01, 1.43627077e-02, -9.99999978e-03, -1.61071029e-02, -8.79263692e-03
-3.85930296e-04, 1.27271061e+01, 1.47793489e-02, -9.99999978e-03, -1.67139396e-02, -8.72778613e-03
-5.75948390e-04, 1.26248569e+01, 2.09565144e-02, -9.99999978e-03, -1.69057045e-02, -9.05475952e-03
-1.28582935e-03, 1.27139511e+01, 1.53230745e-02, -9.99999978e-03, -1.71041600e-02, -8.70161969e-03
-1.19360094e-03, 1.27765598e+01, 4.52335831e-03, -9.99999978e-03, -1.64188370e-02, -8.23195465e-03
-9.25259199e-04, 1.27880430e+01, -4.69280494e-05, -9.99999978e-03, -1.63476635e-02, -7.98428524e-03
1.52040028e-03, 1.20599499e+01, -1.02930898e-02, -9.99999978e-03, -2.70653553e-02, -7.88524840e-03
-4.84895287e-03, 1.20217791e+01, -4.15487727e-03, -9.99999978e-03, -2.79331543e-02, -7.81915244e-03
-4.22963267e-03, 1.20213614e+01, -1.06277212e-03, -9.99999978e-03, -2.79074349e-02, -7.88266398e-03
1.71952893e-03, 1.20585918e+01, -8.20480660e-03, -9.99999978e-03, -2.70744842e-02, -7.92259909e-03
-1.23547344e-03, 1.25425434e+01, 2.54332852e-02, -9.99999978e-03, -1.91913452e-02, -8.96592345e-03
1.62309501e-04, 1.25686865e+01, 2.40012519e-02, -9.99999978e-03, -1.94621533e-02, -8.87061842e-03
3.75426840e-04, 1.26067352e+01, 2.08434407e-02, -9.99999978e-03, -1.93607081e-02, -8.74357019e-03
1.26691326e-03, 1.28850422e+01, -3.77096562e-03, -9.99999978e-03, -1.40625099e-02, -7.84127228e-03
1.63932447e-04, 1.29177618e+01, -2.72065052e-03, -9.99999978e-03, -1.29534900e-02, -7.87960459e-03
-4.06111940e-05, 1.29224014e+01, -1.63521536e-03, -9.99999978e-03, -1.29906153e-02, -7.94347841e-03
1.17940817e-03, 1.28864651e+01, -2.95608444e-03, -9.99999978e-03, -1.41739445e-02, -7.89093878e-03
1.77266286e-03, 1.28371353e+01, -1.19423931e-02, -9.99999978e-03, -1.32150510e-02, -7.39794411e-03
1.25108357e-03, 1.30107431e+01, -3.33317847e-04, -9.99999978e-03, -9.97736026e-03, -8.00879486e-03
1.27810729e-03, 1.30115833e+01, -1.03215920e-03, -9.99999978e-03, -9.99605469e-03, -7.93390442e-03
1.11975125e-03, 1.30362425e+01, 3.76686978e-04, -9.99999978e-03, -9.20398813e-03, -7.99292326e-03
1.17046502e-03, 1.30113945e+01, -1.14652317e-03, -9.99999978e-03, -1.00602517e-02, -7.92754907e-03
1.07108278e-03, 1.30367441e+01, 9.00310057e-04, -9.99999978e-03, -9.04698111e-03, -8.02909024e-03
7.99601199e-04, 1.29524918e+01, 6.35537878e-03, -9.99999978e-03, -9.43173189e-03, -8.63987673e-03
1.33577129e-03, 1.30018253e+01, -2.69425032e-03, -9.99999978e-03, -9.89917293e-03, -7.76484469e-03
-2.32570310e-04, 1.25931339e+01, -3.30048613e-03, -9.99999978e-03, -2.04991661e-02, -7.93505274e-03
9.36707947e-04, 1.25017290e+01, -1.16218599e-02, -9.99999978e-03, -2.15684678e-02, -7.67821865e-03
9.94944945e-04, 1.25064201e+01, -1.98530313e-03, -9.99999978e-03, -2.15366390e-02, -7.96810351e-03
-2.12824147e-04, 1.25924911e+01, -2.46093608e-03, -9.99999978e-03, -2.05089264e-02, -7.96022918e-03
3.88787128e-04, 1.25122595e+01, 1.37721095e-02, -9.99999978e-03, -2.11068690e-02, -8.45206250e-03
1.03626517e-03, 1.28886738e+01, -1.49829499e-03, -9.99999978e-03, -1.42344572e-02, -7.95911439e-03
1.01369596e-03, 1.28862391e+01, -1.04882731e-03, -9.99999978e-03, -1.41944857e-02, -7.99025502e-03
-2.14142667e-04, 1.25945549e+01, -2.56579020e-03, -9.99999978e-03, -2.04754677e-02, -7.95613602e-03
-2.87208008e-04, 1.25066423e+01, 2.78637055e-02, -9.99999978e-03, -2.08936259e-02, -8.82436801e-03
-1.23870117e-03, 1.25552225e+01, 2.15265211e-02, -9.99999978e-03, -2.02333443e-02, -8.69893096e-03
-2.82510300e-04, 1.25023050e+01, 2.76970528e-02, -9.99999978e-03, -2.09789798e-02, -8.82262737e-03
2.41051707e-03, 1.22416277e+01, -4.88710776e-03, -9.99999978e-03, -2.49833744e-02, -8.00440367e-03
