Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
7.37956259e-03, 4.94722366e+00, -1.47300512e-02, -9.99999978e-03, -2.85430346e-03, -1.29920617e-02
-6.51383912e-03, 4.96946096e+00, 2.99027599e-02, -9.99999978e-03, -1.07959029e-03, -1.29770702e-02
7.96516892e-03, 4.92825270e+00, -1.52481012e-02, -9.99999978e-03, 6.58113800e-04, -1.29926763e-02
-2.27201777e-03, 4.94030952e+00, 7.48058036e-03, -9.99999978e-03, 2.72223866e-03, -1.29863331e-02
-4.86022374e-03, 4.98951674e+00, 8.37683398e-03, -9.99999978e-03, -4.27776203e-03, -1.29863331e-02
3.25909466e-03, 4.95671844e+00, -3.30714583e-02, -9.99999978e-03, -3.52613581e-03, -1.29760401e-02
-4.88253310e-03, 4.96713734e+00, 8.38586409e-03, -9.99999978e-03, -7.77761627e-04, -1.29863331e-02
3.33719631e-03, 4.93789530e+00, -3.39587294e-02, -9.99999978e-03, -2.61356472e-05, -1.29760401e-02
3.53575638e-03, 4.91128254e+00, -3.34172398e-02, -9.99999978e-03, 3.47386440e-03, -1.29760401e-02
-1.62546127e-03, 1.54407949e+01, 6.58026291e-03, -9.99999978e-03, 5.19756041e-03, -1.19432919e-02
7.81884650e-04, 1.75559349e+01, 7.09540956e-03, -9.99999978e-03, 5.19787148e-03, -1.16847735e-02
6.91450667e-03, 1.75675583e+01, 4.35147434e-03, -9.99999978e-03, 4.62100562e-03, -1.16879297e-02
6.00124989e-03, 1.54514542e+01, 3.37990560e-03, -9.99999978e-03, 4.62484919e-03, -1.19471997e-02
-3.47267347e-03, 1.54251947e+01, 9.94482264e-03, -9.99999978e-03, 8.69761035e-03, -1.19432742e-02
-1.16557616e-03, 1.75412064e+01, 1.02737434e-02, -9.99999978e-03, 8.69795587e-03, -1.16847511e-02
1.56685628e-03, 1.75524178e+01, 4.81572095e-03, -9.99999978e-03, 8.12068023e-03, -1.16878692e-02
1.73800020e-03, 1.54378624e+01, 4.50333348e-03, -9.99999978e-03, 8.12455453e-03, -1.19471569e-02
7.69621972e-03, 1.54559708e+01, 2.78249150e-03, -9.99999978e-03, 4.41556145e-03, -1.19396364e-02
8.00233241e-03, 1.75685730e+01, 4.14114771e-03, -9.99999978e-03, 4.41597914e-03, -1.16808116e-02
-2.38177646e-03, 1.54710236e+01, 8.48694704e-03, -9.99999978e-03, 5.61377872e-03, -1.19479047e-02
-7.03150930e-04, 1.75806599e+01, 1.03504304e-02, -9.99999978e-03, 5.61458431e-03, -1.16889589e-02
3.15645407e-03, 1.54429579e+01, 2.42310762e-03, -9.99999978e-03, 7.91560393e-03, -1.19395638e-02
2.29917699e-03, 1.75530758e+01, 3.11675528e-03, -9.99999978e-03, 7.91608542e-03, -1.16807166e-02
-2.74618715e-03, 1.54513817e+01, 1.65314376e-02, -9.99999978e-03, 9.11378674e-03, -1.19479047e-02
-3.67212924e-04, 1.75659924e+01, 1.77712236e-02, -9.99999978e-03, 9.11461748e-03, -1.16889570e-02
8.65007751e-03, 1.54562016e+01, 3.03247548e-03, -9.99999978e-03, 4.15903330e-03, -1.19470302e-02
8.65116343e-03, 1.75686092e+01, 5.18478267e-03, -9.99999978e-03, 4.16314323e-03, -1.16877425e-02
-4.49887197e-03, 1.54891644e+01, 9.03891586e-03, -9.99999978e-03, 5.92198782e-03, -1.19349826e-02
-3.08222510e-03, 1.75981560e+01, 1.16766486e-02, -9.99999978e-03, 5.92225511e-03, -1.16764419e-02
3.63497715e-03, 1.54451437e+01, 1.04196253e-03, -9.99999978e-03, 7.66077871e-03, -1.19468207e-02
2.47327960e-03, 1.75552349e+01, 2.44523422e-03, -9.99999978e-03, 7.66563509e-03, -1.16874594e-02
-3.74479149e-03, 1.54676819e+01, 1.86350103e-02, -9.99999978e-03, 9.42201726e-03, -1.19349817e-02
-1.33220269e-03, 1.75835896e+01, 2.04100180e-02, -9.99999978e-03, 9.42230131e-03, -1.16764391e-02
-3.40792420e-03, 1.54834461e+01, 7.78543530e-03, -9.99999978e-03, 6.22872356e-03, -1.19424872e-02
-2.81639211e-03, 1.75928955e+01, 1.04247890e-02, -9.99999978e-03, 6.23056432e-03, -1.16834901e-02
-4.39419877e-04, 1.54581623e+01, -3.88984685e-04, -9.99999978e-03, 6.97518513e-03, -1.19337682e-02
-1.61838031e-03, 1.75664539e+01, 2.89003598e-03, -9.99999978e-03, 6.97539747e-03, -1.16751436e-02
-2.23567267e-03, 1.54619741e+01, 1.53743122e-02, -9.99999978e-03, 9.72875487e-03, -1.19424872e-02
-5.58331027e-04, 1.75807304e+01, 1.69648379e-02, -9.99999978e-03, 9.73061100e-03, -1.16834892e-02
3.03666317e-03, 1.75619583e+01, 3.67387640e-03, -9.99999978e-03, 1.04754530e-02, -1.16751511e-02
2.63964944e-03, 1.54358416e+01, 1.89922284e-03, -9.99999978e-03, 1.04752220e-02, -1.19337738e-02
-3.61801591e-03, 1.35255060e+01, 7.47784786e-03, -9.99999978e-03, 5.19731827e-03, -1.21587152e-02
5.52034844e-03, 1.35383968e+01, 1.82724081e-03, -9.99999978e-03, 4.62777494e-03, -1.21632451e-02
-5.26819099e-03, 1.35096378e+01, 9.82075185e-03, -9.99999978e-03, 8.69734399e-03, -1.21587012e-02
1.84481649e-03, 1.35247326e+01, 2.51115765e-03, -9.99999978e-03, 8.12752265e-03, -1.21632125e-02
