"filename", "language", "CSV", "comment", "blank", "total"
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal1/DP10_internalXZ1_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 1057, 0, 3, 1060
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal1/DP10_internalYZ1_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 4984, 0, 3, 4987
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal1/DP98_internalXZ1_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 506, 0, 3, 509
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal1/DP98_internalYZ1_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 4393, 0, 3, 4396
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal1/DP99_internalXZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 717, 0, 3, 720
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal1/DP99_internalYZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 4756, 0, 3, 4759
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP100_internalXZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 747, 0, 3, 750
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP100_internalYZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 4774, 0, 3, 4777
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP101_internalXZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 807, 0, 3, 810
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP101_internalYZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 4802, 0, 3, 4805
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP102_internalXZ2_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 960, 0, 3, 963
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP102_internalYZ2_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 4972, 0, 3, 4975
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP103_internalXZ2_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 1008, 0, 3, 1011
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP103_internalYZ2_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 4987, 0, 3, 4990
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP104_internalXZ2_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 914, 0, 3, 917
"/dLight/modulusDesignOptimization/ansys/validators - Copy/internal2/DP104_internalYZ2_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 4948, 0, 3, 4951
